Department,Category,Use Case,Prompt,ChatGPT URL,Source URL
"Sales","Outreach & communication","Draft a personalized cold outreach email","Write a short, compelling cold email to a [job title] at [company name] introducing our product. Use the background below to customize it. Background: [insert value props or ICP info]. Format it in email-ready text.","https://chatgpt.com/?prompt=Write%20a%20short%2C%20compelling%20cold%20email%20to%20a%20%5Bjob%20title%5D%20at%20%5Bcompany%20name%5D%20introducing%20our%20product.%20Use%20the%20background%20below%20to%20customize%20it.%20Background%3A%20%5Binsert%20value%20props%20or%20ICP%20info%5D.%20Format%20it%20in%20email-ready%20text.","https://academy.openai.com/public/clubs/work-users-ynjqu/resources/use-cases-sales"
"Sales","Outreach & communication","Rework demo follow-up email","Rewrite this follow-up email after a demo to sound more consultative. Original email: [paste here]. Include recap, next steps, and call scheduling CTA. Output as email text.","https://chatgpt.com/?prompt=Rewrite%20this%20follow-up%20email%20after%20a%20demo%20to%20sound%20more%20consultative.%20Original%20email%3A%20%5Bpaste%20here%5D.%20Include%20recap%2C%20next%20steps%2C%20and%20call%20scheduling%20CTA.%20Output%20as%20email%20text.","https://academy.openai.com/public/clubs/work-users-ynjqu/resources/use-cases-sales"
"Sales","Outreach & communication","Draft renewal pitch for key customer","Draft a renewal pitch for [customer name] based on this renewal history and value data: [paste data]. Include key ROI proof points and renewal recommendation. Output as a short pitch and optional follow-up email.","https://chatgpt.com/?prompt=Draft%20a%20renewal%20pitch%20for%20%5Bcustomer%20name%5D%20based%20on%20this%20renewal%20history%20and%20value%20data%3A%20%5Bpaste%20data%5D.%20Include%20key%20ROI%20proof%20points%20and%20renewal%20recommendation.%20Output%20as%20a%20short%20pitch%20and%20optional%20follow-up%20email.","https://academy.openai.com/public/clubs/work-users-ynjqu/resources/use-cases-sales"
"Sales","Outreach & communication","Create summary of rep activity","Write a daily update summarizing key rep activities. Inputs: [paste call summaries or CRM exports]. Make it upbeat and concise. Output as 3–5 bullet message.","https://chatgpt.com/?prompt=Write%20a%20daily%20update%20summarizing%20key%20rep%20activities.%20Inputs%3A%20[paste%20call%20summaries%20or%20CRM%20exports].%20Make%20it%20upbeat%20and%20concise.%20Output%20as%203%E2%80%935%20bullet%20message.","https://academy.openai.com/public/clubs/work-users-ynjqu/resources/use-cases-sales"
"Sales","Outreach & communication","Draft exec update on pipeline status","Summarize our pipeline health this month for execs. Inputs: [paste data]. Include total pipeline, top risks, biggest wins, and forecast confidence. Write it like a short exec update.","https://chatgpt.com/?prompt=Summarize%20our%20pipeline%20health%20this%20month%20for%20execs.%20Inputs%3A%20%5Bpaste%20data%5D.%20Include%20total%20pipeline%2C%20top%20risks%2C%20biggest%20wins%2C%20and%20forecast%20confidence.%20Write%20it%20like%20a%20short%20exec%20update.","https://academy.openai.com/public/clubs/work-users-ynjqu/resources/use-cases-sales"
"Sales","Sales strategy & planning","Generate strategic account plan","Create an account plan for [customer name]. Use these inputs: company profile, known priorities, current product usage, stakeholders, and renewal date. Output a structured plan with goals, risks, opportunities, and next steps.","https://chatgpt.com/?prompt=Create%20an%20account%20plan%20for%20%5Bcustomer%20name%5D.%20Use%20these%20inputs%3A%20company%20profile%2C%20known%20priorities%2C%20current%20product%20usage%2C%20stakeholders%2C%20and%20renewal%20date.%20Output%20a%20structured%20plan%20with%20goals%2C%20risks%2C%20opportunities%2C%20and%20next%20steps.","https://academy.openai.com/public/clubs/work-users-ynjqu/resources/use-cases-sales"
"Sales","Sales strategy & planning","Design territory planning framework","Create a territory planning guide for our next fiscal year. Inputs: team headcount, target industries, regions, and historical revenue. Recommend allocation method and sample coverage plan.","https://chatgpt.com/?prompt=Create%20a%20territory%20planning%20guide%20for%20our%20next%20fiscal%20year.%20Inputs%3A%20team%20headcount%2C%20target%20industries%2C%20regions%2C%20and%20historical%20revenue.%20Recommend%20allocation%20method%20and%20sample%20coverage%20plan.","https://academy.openai.com/public/clubs/work-users-ynjqu/resources/use-cases-sales"
"Sales","Sales strategy & planning","Prioritize accounts using firmographic data","I have this list of accounts: [paste sample]. Prioritize them based on [criteria: industry, size, funding, tech stack]. Output a ranked list with reasons why.","https://chatgpt.com/?prompt=I%20have%20this%20list%20of%20accounts%3A%20%5Bpaste%20sample%5D.%20Prioritize%20them%20based%20on%20%5Bcriteria%3A%20industry%2C%20size%2C%20funding%2C%20tech%20stack%5D.%20Output%20a%20ranked%20list%20with%20reasons%20why.","https://academy.openai.com/public/clubs/work-users-ynjqu/resources/use-cases-sales"
"Sales","Sales strategy & planning","Spot high-potential accounts using weighted scoring","Score accounts based on [insert rules—e.g., company size, engagement score, intent signals]. Data: [Upload account list]. Output top 10 ranked accounts with their score and a note explaining why.","https://chatgpt.com/?prompt=Score%20accounts%20based%20on%20%5Binsert%20rules%E2%80%94e.g.%2C%20company%20size%2C%20engagement%20score%2C%20intent%20signals%5D.%20Data%3A%20%5BUpload%20account%20list%5D.%20Output%20top%2010%20ranked%20accounts%20with%20their%20score%20and%20a%20note%20explaining%20why.","https://academy.openai.com/public/clubs/work-users-ynjqu/resources/use-cases-sales"
"Sales","Sales strategy & planning","Regional market entry planning","I’m evaluating market entry into [region/country] for our [SaaS solution]. Research local buying behaviors, competitive landscape, economic conditions, and regulatory concerns. Format as a go/no-go market readiness summary with citations and action steps.","https://chatgpt.com/?prompt=I%E2%80%99m%20evaluating%20market%20entry%20into%20%5Bregion%2Fcountry%5D%20for%20our%20%5BSaaS%20solution%5D.%20Research%20local%20buying%20behaviors%2C%20competitive%20landscape%2C%20economic%20conditions%2C%20and%20regulatory%20concerns.%20Format%20as%20a%20go%2Fno-go%20market%20readiness%20summary%20with%20citations%20and%20action%20steps.","https://academy.openai.com/public/clubs/work-users-ynjqu/resources/use-cases-sales"
"Sales","Competitive intelligence & enablement","Create battlecard for competitor","Create a battlecard for [competitor name]. Use these notes: [insert positioning data]. Include strengths, weaknesses, how we win, and quick talk track. Output as table format.","https://chatgpt.com/?prompt=Create%20a%20battlecard%20for%20%5Bcompetitor%20name%5D.%20Use%20these%20notes%3A%20%5Binsert%20positioning%20data%5D.%20Include%20strengths%2C%20weaknesses%2C%20how%20we%20win%2C%20and%20quick%20talk%20track.%20Output%20as%20table%20format.","https://academy.openai.com/public/clubs/work-users-ynjqu/resources/use-cases-sales"
"Sales","Competitive intelligence & enablement","Competitive positioning analysis","I’m preparing a competitive battlecard for [competitor name]. Research their pricing model, product positioning, recent customer wins/losses, and sales motion. Compare it to ours based on these strengths: [insert]. Output a 1-page summary with citations.","https://chatgpt.com/?prompt=I%E2%80%99m%20preparing%20a%20competitive%20battlecard%20for%20%5Bcompetitor%20name%5D.%20Research%20their%20pricing%20model%2C%20product%20positioning%2C%20recent%20customer%20wins%2Flosses%2C%20and%20sales%20motion.%20Compare%20it%20to%20ours%20based%20on%20these%20strengths%3A%20%5Binsert%5D.%20Output%20a%201-page%20summary%20with%20citations.","https://academy.openai.com/public/clubs/work-users-ynjqu/resources/use-cases-sales"
